,dte,underlying_price,put_call_volume_ratio,put_call_oi_ratio,call_iv,put_iv,iv_skew
2025-04-11,1,510.45001220703125,0.7743729651513325,5.3490810278794105e-05,0.956573963477725,0.033677818080357136,-0.9228961453973679
2025-04-17,7,510.45001220703125,0.9477598321014691,0.0,0.7977259662974963,0.018653279474431822,-0.7790726868230644
2025-04-25,15,510.45001220703125,0.5856877211924899,0.26760977402167924,0.6967748273814809,0.135836833301891,-0.5609379940795899
2025-05-02,22,510.45001220703125,0.5661228740020826,0.0,0.010663302556818181,0.010752080078124998,8.877752130681711e-05
2025-05-09,29,510.45001220703125,3.3283038501560873,2.5384615384615383,0.009242862215909092,0.010752080078124998,0.0015092178622159065
2025-05-16,36,510.45001220703125,0.8394879005402205,0.0003890142379211079,0.009242862215909092,0.009331639737215909,8.877752130681711e-05
2025-05-23,43,510.45001220703125,0.47041062801932365,0.25801195002715915,0.6455280032071201,0.009331639737215909,-0.6361963634699042
2025-06-20,71,510.45001220703125,0.7404228406216119,0.6545091444187513,0.5635058964122426,0.5188924176580257,-0.04461347875421684
2025-07-18,99,510.45001220703125,0.8292493193309997,1.1372929563326084,0.5259432948580656,0.4849405643532494,-0.041002730504816176
2025-08-15,127,510.45001220703125,0.1330932307440452,0.6212266054850976,0.5266709931030273,0.4727835925292969,-0.053887400573730426
2025-09-19,162,510.45001220703125,1.1075338055376691,1.424376984209325,0.504228868005926,0.445824356176203,-0.05840451182972306
2025-10-17,190,510.45001220703125,1.7627235213204953,0.8038978087448247,0.5012358633422852,0.4267037819290161,-0.07453208141326911
2025-12-19,253,510.45001220703125,1.186763372620127,1.0192826880491825,0.480662597545277,0.40641199173667214,-0.07425060580860487
2026-01-16,281,510.45001220703125,1.245754041334152,0.859102344145858,0.4724479025268555,0.3944915287780762,-0.07795637374877928
2026-03-20,344,510.45001220703125,0.7752467729688687,1.0157179581344107,0.46956859782409677,0.3848358636169434,-0.08473273420715338
