,dte,underlying_price,put_call_volume_ratio,put_call_oi_ratio,call_iv,put_iv,iv_skew
2025-04-11,1,78.20999908447266,0.5403136120996441,0.0,0.0312596875,0.062509375,0.031249687500000005
2025-04-17,7,78.20999908447266,0.6778551187168129,0.0,0.015634843750000002,0.0312596875,0.015624843749999999
2025-04-25,15,78.20999908447266,0.46530837004405284,0.0,0.015634843750000002,0.0312596875,0.015624843749999999
2025-05-02,22,78.20999908447266,0.28793823566637133,0.0,0.015634843750000002,0.015634843750000002,0.0
2025-05-09,29,78.20999908447266,0.26411960132890366,0.0,0.015634843750000002,0.015634843750000002,0.0
2025-05-16,36,78.20999908447266,0.6880479301357344,0.0,0.007822421875,0.015634843750000002,0.007812421875000001
2025-05-23,43,78.20999908447266,0.45931758530183725,0.0,,0.015634843750000002,
2025-06-20,71,78.20999908447266,3.07982466971231,0.0,0.007822421875,0.015634843750000002,0.007812421875000001
2025-07-18,99,78.20999908447266,0.967344126765415,0.0,0.007822421875,0.007822421875,0.0
2025-08-15,127,78.20999908447266,0.6294117647058823,0.0,0.0039162109375,0.007822421875,0.0039062109375000006
2025-09-19,162,78.20999908447266,1.9530905077262692,0.0,0.0039162109375,0.007822421875,0.0039062109375000006
2025-10-17,190,78.20999908447266,0.24617365183807752,0.0,0.0039162109375,0.007822421875,0.0039062109375000006
2025-11-21,225,78.20999908447266,0.37111205794631447,0.0,0.0039162109375,0.007822421875,0.0039062109375000006
2025-12-19,253,78.20999908447266,1.2888550282977798,0.04595588235294118,0.0039162109375,0.007822421875,0.0039062109375000006
2026-01-16,281,78.20999908447266,1.3878674171357097,0.0,0.0039162109375,0.007822421875,0.0039062109375000006
2026-02-20,316,78.20999908447266,1.439068100358423,0.0,0.0039162109375,0.007822421875,0.0039062109375000006
2026-03-20,344,78.20999908447266,2.3904099452419714,0.0,0.0039162109375,0.0039162109375,0.0
